logT,T,safety,security
-4.0,0.0001,0,7209
-3.8,0.00015848931924611142,0,7209
-3.6,0.00025118864315095795,0,7209
-3.4,0.00039810717055349735,0,7209
-3.2,0.000630957344480193,0,7209
-3.0,0.001,0,7209
-2.8,0.001584893192461114,11388,3777
-2.6,0.002511886431509582,11388,3777
-2.4,0.003981071705534973,11388,3777
-2.2,0.00630957344480193,11388,3777
-2.0,0.01,11390,3776
-1.8,0.01584893192461114,11392,3771
-1.6,0.025118864315095822,11396,3765
-1.4,0.039810717055349734,11396,3753
-1.2,0.06309573444801936,11401,3747
-1.0,0.1,11417,3729
-0.8,0.15848931924611143,11451,3680
-0.6,0.25118864315095824,11543,3494
-0.4,0.3981071705534973,11809,3014
-0.2,0.6309573444801936,12541,1726
0.0,1.0,45727,218
