seed,policy,safety,security,nuisance,total
0,uniform_loose,0,2012,776,2788
0,uniform_mid,2890,969,125,3984
0,uniform_strict,3065,643,81,3789
0,polarity_only,351,69,776,1196
0,raga,450,63,443,956
0,raga+quorum,338,373,443,1154
0,raga+quorum+live,340,315,418,1073
1,uniform_loose,0,1985,727,2712
1,uniform_mid,2810,896,121,3827
1,uniform_strict,3013,611,75,3699
1,polarity_only,304,60,727,1091
1,raga,404,56,425,885
1,raga+quorum,322,392,425,1139
1,raga+quorum+live,331,323,399,1053
2,uniform_loose,0,2048,737,2785
2,uniform_mid,2844,970,134,3948
2,uniform_strict,3011,648,93,3752
2,polarity_only,328,61,737,1126
2,raga,439,60,418,917
2,raga+quorum,338,408,418,1164
2,raga+quorum+live,340,339,394,1073
3,uniform_loose,0,1956,740,2696
3,uniform_mid,2878,931,134,3943
3,uniform_strict,3086,599,79,3764
3,polarity_only,331,67,740,1138
3,raga,449,64,428,941
3,raga+quorum,328,378,428,1134
3,raga+quorum+live,331,318,397,1046
4,uniform_loose,0,1926,728,2654
4,uniform_mid,2912,914,118,3944
4,uniform_strict,3099,596,77,3772
4,polarity_only,356,46,728,1130
4,raga,453,46,413,912
4,raga+quorum,339,357,413,1109
4,raga+quorum+live,340,293,386,1019
5,uniform_loose,0,1970,717,2687
5,uniform_mid,2785,903,116,3804
5,uniform_strict,2953,601,80,3634
5,polarity_only,316,56,717,1089
5,raga,436,56,396,888
5,raga+quorum,339,385,396,1120
5,raga+quorum+live,344,320,370,1034
6,uniform_loose,0,1967,715,2682
6,uniform_mid,2862,921,116,3899
6,uniform_strict,3045,602,84,3731
6,polarity_only,307,67,715,1089
6,raga,434,66,413,913
6,raga+quorum,355,357,413,1125
6,raga+quorum+live,356,287,383,1026
7,uniform_loose,0,1984,746,2730
7,uniform_mid,2889,932,128,3949
7,uniform_strict,3091,616,85,3792
7,polarity_only,359,54,746,1159
7,raga,463,51,417,931
7,raga+quorum,351,385,417,1153
7,raga+quorum+live,355,317,393,1065
8,uniform_loose,0,2034,696,2730
8,uniform_mid,2882,923,100,3905
8,uniform_strict,3070,597,67,3734
8,polarity_only,319,53,696,1068
8,raga,425,51,381,857
8,raga+quorum,314,387,381,1082
8,raga+quorum+live,316,330,362,1008
9,uniform_loose,0,1907,715,2622
9,uniform_mid,2933,904,102,3939
9,uniform_strict,3111,583,65,3759
9,polarity_only,346,53,715,1114
9,raga,456,52,428,936
9,raga+quorum,341,338,428,1107
9,raga+quorum+live,344,278,409,1031
10,uniform_loose,0,1988,715,2703
10,uniform_mid,2914,930,130,3974
10,uniform_strict,3110,616,94,3820
10,polarity_only,314,50,715,1079
10,raga,413,46,444,903
10,raga+quorum,304,374,444,1122
10,raga+quorum+live,308,315,423,1046
11,uniform_loose,0,2018,764,2782
11,uniform_mid,2808,963,126,3897
11,uniform_strict,2994,646,85,3725
11,polarity_only,366,59,764,1189
11,raga,460,54,432,946
11,raga+quorum,357,377,432,1166
11,raga+quorum+live,358,326,398,1082
12,uniform_loose,0,1904,703,2607
12,uniform_mid,2892,884,101,3877
12,uniform_strict,3072,593,76,3741
12,polarity_only,311,52,703,1066
12,raga,429,51,389,869
12,raga+quorum,334,345,389,1068
12,raga+quorum+live,337,297,366,1000
13,uniform_loose,0,2033,733,2766
13,uniform_mid,2797,978,129,3904
13,uniform_strict,2983,647,89,3719
13,polarity_only,349,55,733,1137
13,raga,471,52,412,935
13,raga+quorum,368,388,412,1168
13,raga+quorum+live,369,319,370,1058
14,uniform_loose,0,1924,727,2651
14,uniform_mid,2940,908,120,3968
14,uniform_strict,3147,602,88,3837
14,polarity_only,334,53,727,1114
14,raga,458,52,426,936
14,raga+quorum,354,354,426,1134
14,raga+quorum+live,362,296,403,1061
15,uniform_loose,0,2016,748,2764
15,uniform_mid,2772,945,105,3822
15,uniform_strict,2973,624,78,3675
15,polarity_only,332,52,748,1132
15,raga,434,52,410,896
15,raga+quorum,323,395,410,1128
15,raga+quorum+live,325,319,382,1026
16,uniform_loose,0,1992,778,2770
16,uniform_mid,2830,941,154,3925
16,uniform_strict,3008,588,100,3696
16,polarity_only,328,46,778,1152
16,raga,439,45,497,981
16,raga+quorum,330,344,497,1171
16,raga+quorum+live,332,288,465,1085
17,uniform_loose,0,1991,732,2723
17,uniform_mid,2914,939,137,3990
17,uniform_strict,3111,626,81,3818
17,polarity_only,355,56,732,1143
17,raga,465,54,425,944
17,raga+quorum,357,374,425,1156
17,raga+quorum+live,359,318,391,1068
18,uniform_loose,0,1903,731,2634
18,uniform_mid,2894,902,123,3919
18,uniform_strict,3082,569,87,3738
18,polarity_only,335,57,731,1123
18,raga,445,56,426,927
18,raga+quorum,339,336,426,1101
18,raga+quorum+live,341,282,400,1023
19,uniform_loose,0,1942,719,2661
19,uniform_mid,2863,942,128,3933
19,uniform_strict,3039,622,96,3757
19,polarity_only,322,49,719,1090
19,raga,434,48,415,897
19,raga+quorum,329,344,415,1088
19,raga+quorum+live,330,285,391,1006
20,uniform_loose,0,2004,733,2737
20,uniform_mid,2832,922,117,3871
20,uniform_strict,3032,633,89,3754
20,polarity_only,330,53,733,1116
20,raga,458,53,411,922
20,raga+quorum,363,369,411,1143
20,raga+quorum+live,365,315,386,1066
21,uniform_loose,0,1969,707,2676
21,uniform_mid,2868,930,122,3920
21,uniform_strict,3058,623,79,3760
21,polarity_only,329,57,707,1093
21,raga,441,54,419,914
21,raga+quorum,332,367,419,1118
21,raga+quorum+live,335,304,384,1023
22,uniform_loose,0,1926,771,2697
22,uniform_mid,2957,890,139,3986
22,uniform_strict,3124,586,89,3799
22,polarity_only,315,57,771,1143
22,raga,418,55,461,934
22,raga+quorum,298,365,461,1124
22,raga+quorum+live,300,308,425,1033
23,uniform_loose,0,1962,779,2741
23,uniform_mid,2921,935,110,3966
23,uniform_strict,3120,608,70,3798
