scale_Lambda,scale_alpha,per_device_inversion,cross_class_ordering,T_halt_CRIT,stranger_can_halt
0.01,0.1,False,False,0.0071633237822349575,False
0.1,0.1,True,False,0.0007209805335255948,True
1,0.1,True,False,7.214486689272059e-05,True
10,0.1,True,False,7.214955159053687e-06,True
100,0.1,True,False,7.215002009378061e-07,True
0.01,1,False,False,0.06729475100942127,False
0.1,1,True,False,0.007163323782234957,False
1,1,True,False,0.0007209805335255949,True
10,1,True,False,7.214486689272058e-05,True
100,1,True,False,7.214955159053687e-06,True
0.01,10,False,False,0.4191114836546522,False
0.1,10,False,False,0.06729475100942126,False
1,10,True,False,0.0071633237822349575,False
10,10,True,False,0.0007209805335255948,True
100,10,True,False,7.214486689272059e-05,True
